time,seconds_elapsed,Acc z,Acc y,Acc x,time,seconds_elapsed,gyro_z,gyro_y,gyro_x
1.71507E+18,0.806824951,0.692694664,0.126169205,0.185506657,1.71507E+18,0.809660645,0.042760566,0.000534507,0.072692961
1.71507E+18,0.816824951,0.602742195,0.114785671,0.210507452,1.71507E+18,0.819660645,0.049480084,-0.001908954,0.139888138
1.71507E+18,0.826824951,0.534667015,0.126924038,0.34252426,1.71507E+18,0.829660645,0.060475659,-0.004352415,0.203418121
1.71507E+18,0.836824951,0.457159996,0.206085682,0.396212041,1.71507E+18,0.839660645,0.061086524,-0.045280386,0.249843881
1.71507E+18,0.846824951,0.288158417,0.281772614,0.4236646,1.71507E+18,0.849660645,0.052534413,-0.115529887,0.285884947
1.71507E+18,0.856824951,0.300419807,0.258676052,0.406247973,1.71507E+18,0.859660645,0.045204028,-0.178449005,0.303600013
1.71507E+18,0.866824951,0.137160301,0.247079372,0.385235935,1.71507E+18,0.869660645,0.047036625,-0.190666318,0.299934834
1.71507E+18,0.876824951,-0.186525345,0.166357994,0.444270164,1.71507E+18,0.879660889,0.0421497,-0.144240558,0.272445887
1.71507E+18,0.886824951,-0.097197533,0.135898113,0.543156028,1.71507E+18,0.889660645,0.029321533,-0.063606344,0.224798411
1.71507E+18,0.896824951,0.054563522,0.05927515,0.625008404,1.71507E+18,0.899660645,-0.003665192,0.054290649,0.177761793
1.71507E+18,0.906824951,0.235116959,0.015535831,0.533171713,1.71507E+18,0.909660645,-0.045814894,0.179518029,0.1423316
1.71507E+18,0.916824951,0.258173943,0.049258709,0.3530581,1.71507E+18,0.919660645,-0.080023348,0.274202138,0.125227377
1.71507E+18,0.926824951,0.282730103,0.158780575,0.196899772,1.71507E+18,0.929660645,-0.091629788,0.311464906,0.116675265
1.71507E+18,0.936824951,0.283000946,0.288489819,0.049409494,1.71507E+18,0.939660645,-0.086742863,0.291917235,0.114842668
1.71507E+18,0.946824951,0.261821747,0.365233898,-0.068506986,1.71507E+18,0.949660645,-0.06963864,0.254654437,0.122783914
1.71507E+18,0.956825195,0.305874825,0.462619781,-0.158600077,1.71507E+18,0.959660889,-0.048869219,0.24365887,0.139888138
1.71507E+18,0.966824951,0.379638672,0.467386246,-0.158709019,1.71507E+18,0.969660645,-0.039095376,0.226554647,0.160046697
1.71507E+18,0.976824951,0.38744545,0.453578949,-0.13860622,1.71507E+18,0.979660889,-0.039095376,0.189902738,0.182037845
1.71507E+18,0.986824951,0.415474892,0.299091816,-0.250424385,1.71507E+18,0.989660645,-0.0421497,0.17096591,0.209526777
1.71507E+18,0.996825195,0.425691605,0.281198978,-0.234094024,1.71507E+18,0.999660889,-0.03848451,0.170355052,0.240680903
1.71507E+18,1.006824951,0.063967705,0.143388748,-0.184336662,1.71507E+18,1.009660645,-0.026267206,0.170355052,0.263893783
1.71507E+18,1.016824951,0.076942444,0.120934963,-0.16862303,1.71507E+18,1.019660889,-0.01038471,0.167911589,0.279165417
1.71507E+18,1.026824951,-0.251637459,0.080462933,-0.065294817,1.71507E+18,1.029660645,0.006108652,0.156305149,0.283441484
1.71507E+18,1.036825195,-0.357264519,0.106661797,-0.021230638,1.71507E+18,1.039660889,0.024434609,0.131259665,0.28160888
1.71507E+18,1.046824951,-0.419829369,0.1401968,0.038960278,1.71507E+18,1.049660645,0.025045475,0.115988038,0.273667634
1.71507E+18,1.056824951,-0.406096458,0.116940022,0.047495037,1.71507E+18,1.059660889,0.018936822,0.10132727,0.259617716
1.71507E+18,1.066824951,-0.452846527,0.166697979,0.009556353,1.71507E+18,1.069660645,0.01160644,0.097662084,0.243735239
1.71507E+18,1.076824219,-0.440434456,0.145947456,0.017113999,1.71507E+18,1.079659912,0.005497787,0.079336122,0.227241874
1.71507E+18,1.086823486,-0.258818626,0.126598835,-0.084281549,1.71507E+18,1.08965918,0.007330383,0.05917757,0.216857165
1.71507E+18,1.096822754,-0.171092987,0.062655926,-0.000721887,1.71507E+18,1.099658447,0.007941248,0.069562279,0.224798411
1.71507E+18,1.106821777,-0.159543037,0.043604374,0.004686326,1.71507E+18,1.109657959,0.004276057,0.067118816,0.23518312
1.71507E+18,1.116821289,-0.152236938,0.009391308,0.057947591,1.71507E+18,1.119656982,0.00122173,0.042684209,0.239459172
1.71507E+18,1.126820801,-0.065719604,0.475263119,0.272083998,1.71507E+18,1.129656494,0.01038471,0.002367103,0.240070045
1.71507E+18,1.136821045,-0.053417206,0.455051899,0.271604955,1.71507E+18,1.139656738,0.017104227,-0.031841353,0.229074463
1.71507E+18,1.146820801,-0.041636467,0.435670853,0.267808557,1.71507E+18,1.149656494,0.014660766,-0.022067508,0.21013765
1.71507E+18,1.156821045,0.225513458,0.15436697,-0.051286817,1.71507E+18,1.159656738,0.002443461,0.036575556,0.185092166
1.71507E+18,1.166820801,0.235434532,0.138412952,-0.049088791,1.71507E+18,1.169656494,-0.01282817,0.111711979,0.161268428
1.71507E+18,1.176821045,0.244333267,0.124446869,-0.040056542,1.71507E+18,1.179656738,-0.033597589,0.177685425,0.139277279
1.71507E+18,1.186820801,0.265442848,0.089417458,-0.073082328,1.71507E+18,1.189656494,-0.045814894,0.218002528,0.122173049
1.71507E+18,1.196821045,0.276328087,0.072023869,-0.076022103,1.71507E+18,1.199656738,-0.037262779,0.237550229,0.112399206
1.71507E+18,1.206820801,0.282968521,0.061792374,-0.06788373,1.71507E+18,1.209656494,-0.014660766,0.194789648,0.117896989
1.71507E+18,1.216821045,0.287853241,0.054252625,-0.06298025,1.71507E+18,1.219656738,-0.003054326,0.098272949,0.1423316
1.71507E+18,1.226820801,0.29483223,0.043079853,-0.068069905,1.71507E+18,1.229656494,-0.009162978,0.084223047,0.167377084
1.71507E+18,1.236821045,-0.149905205,0.395574093,0.060778446,1.71507E+18,1.239656738,-0.023823744,0.08972083,0.17715092
1.71507E+18,1.246820801,-0.202565193,0.329842567,-0.19392398,1.71507E+18,1.249656494,-0.018325957,0.123318419,0.161879286
1.71507E+18,1.256821045,-0.156229973,0.215414524,-0.256125361,1.71507E+18,1.259656738,-0.004886922,0.145309567,0.128281698
1.71507E+18,1.266820801,-0.078261375,0.156942368,-0.258929193,1.71507E+18,1.269656494,0.004276057,0.168522447,0.089186326
1.71507E+18,1.276820801,-0.06748867,0.1410079,-0.242577985,1.71507E+18,1.279656494,0.014660766,0.180128887,0.050701816
1.71507E+18,1.286820801,-0.023277283,-0.009836674,-0.299804926,1.71507E+18,1.289656494,0.027488936,0.16913332,0.018936822
1.71507E+18,1.296820801,-0.047841072,-0.004802227,-0.212214783,1.71507E+18,1.299656494,0.03848451,0.148974761,0.000610865
1.71507E+18,1.306820801,-0.118926048,-0.007826328,-0.145842969,1.71507E+18,1.309656494,0.036041051,0.100716405,-0.007330383
1.71507E+18,1.316820801,-0.118699074,-0.007823467,-0.138348013,1.71507E+18,1.319656494,0.025656341,0.057955839,-0.006719518
1.71507E+18,1.326820801,-0.10643959,0.11886549,-0.276941597,1.71507E+18,1.329656494,0.021991149,0.024969118,-0.002443461
1.71507E+18,1.336820801,-0.03391552,0.132322788,-0.328665942,1.71507E+18,1.339656494,0.026267206,-0.011071933,0.004276057
1.71507E+18,1.346820801,0.094210625,0.135295391,-0.305780053,1.71507E+18,1.349656494,0.02687807,-0.100869127,0.009162978
1.71507E+18,1.356820801,0.267964363,0.152122498,-0.387167901,1.71507E+18,1.359656494,0.028099801,-0.146073148,0.015271631
1.71507E+18,1.366820801,0.377248764,0.156646729,-0.223548114,1.71507E+18,1.369656494,0.035430185,-0.163788244,0.031764992
1.71507E+18,1.376821533,0.331376076,0.158019066,-0.046840072,1.71507E+18,1.379657227,0.037873644,-0.173562095,0.051923547
1.71507E+18,1.386822754,0.163844109,0.048272133,0.120157614,1.71507E+18,1.389658447,0.025045475,-0.161344782,0.063529983
1.71507E+18,1.396823242,0.073532104,-0.033561707,0.084907293,1.71507E+18,1.399658936,0.000610865,-0.127747193,0.057421334
1.71507E+18,1.406823486,0.061973572,9.53674E-05,-0.056707546,1.71507E+18,1.40965918,-0.014660766,-0.089262687,0.03848451
1.71507E+18,1.416823975,0.056641579,0.119168758,-0.160869062,1.71507E+18,1.419659668,-0.01282817,-0.06421721,0.01038471
1.71507E+18,1.426824463,0.059458733,0.252454281,-0.219955608,1.71507E+18,1.429660156,-0.006719518,-0.064828075,-0.026267206
1.71507E+18,1.436824463,0.134589195,0.206672192,-0.262498051,1.71507E+18,1.4396604,0.000610865,-0.069714993,-0.062308256
1.71507E+18,1.446824463,0.207842827,0.144567966,-0.250584751,1.71507E+18,1.449660156,0.014660766,-0.077656247,-0.089797191
